id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_28","Tool","Tool",[],"","heuristic",0.77,102
"comm_80","Tool","Tool",[],"","heuristic",0.9430051813471503,35
"comm_7","Orchestrator","Orchestrator",[],"","heuristic",0.8349514563106796,26
"comm_66","Tool","Tool",[],"","heuristic",0.9302325581395349,16
"comm_11","Sandbox_runner","Sandbox_runner",[],"","heuristic",0.8148148148148148,12
"comm_0","Static_py","Static_py",[],"","heuristic",0.8,9
"comm_6","Analyzers","Analyzers",[],"","heuristic",0.6428571428571429,9
"comm_68","Tool","Tool",[],"","heuristic",0.9473684210526315,9
"comm_12","Agent","Agent",[],"","heuristic",0.875,8
"comm_26","Dynamic_runtime","Dynamic_runtime",[],"","heuristic",0.9333333333333333,8
"comm_35","Agent","Agent",[],"","heuristic",0.7142857142857143,8
"comm_42","Agent","Agent",[],"","heuristic",0.7,8
"comm_43","Agent","Agent",[],"","heuristic",0.7,8
"comm_44","Biomni","Biomni",[],"","heuristic",0.7368421052631579,8
"comm_98","Biorxiv_scripts","Biorxiv_scripts",[],"","heuristic",0.7368421052631579,8
"comm_15","Orchestrator","Orchestrator",[],"","heuristic",0.8,7
"comm_38","Biomni","Biomni",[],"","heuristic",0.9230769230769231,7
"comm_64","Tool","Tool",[],"","heuristic",0.9523809523809523,7
"comm_99","Eval","Eval",[],"","heuristic",1,7
"comm_1","Dynamic_runtime","Dynamic_runtime",[],"","heuristic",0.7142857142857143,6
"comm_8","Sandbox_runner","Sandbox_runner",[],"","heuristic",0.9473684210526315,6
"comm_62","Tool","Tool",[],"","heuristic",0.9090909090909091,6
"comm_65","Tool","Tool",[],"","heuristic",0.9230769230769231,6
"comm_72","Tool","Tool",[],"","heuristic",1,6
"comm_76","Biorxiv_scripts","Biorxiv_scripts",[],"","heuristic",0.9090909090909091,6
"comm_83","Tool","Tool",[],"","heuristic",0.7692307692307693,6
"comm_22","Dynamic_runtime","Dynamic_runtime",[],"","heuristic",0.8,5
"comm_27","Repo","Repo",[],"","heuristic",0.8,5
"comm_33","[id]","[id]",[],"","heuristic",1,5
"comm_46","Agent","Agent",[],"","heuristic",0.7272727272727273,5
"comm_50","Agent","Agent",[],"","heuristic",0.8,5
"comm_71","Tool","Tool",[],"","heuristic",0.9090909090909091,5
"comm_85","Tool","Tool",[],"","heuristic",1,5
"comm_88","Know_how","Know_how",[],"","heuristic",1,5
"comm_2","Orchestrator","Orchestrator",[],"","heuristic",0.8571428571428571,4
"comm_5","Reporting","Reporting",[],"","heuristic",0.6,4
"comm_9","Tool","Tool",[],"","heuristic",0.75,4
"comm_23","Dynamic_runtime","Dynamic_runtime",[],"","heuristic",0.8,4
"comm_37","Biomni","Biomni",[],"","heuristic",0.6666666666666666,4
"comm_45","Biomni","Biomni",[],"","heuristic",0.75,4
"comm_49","Biomni","Biomni",[],"","heuristic",0.8571428571428571,4
"comm_53","Tool","Tool",[],"","heuristic",1,4
"comm_63","Tool","Tool",[],"","heuristic",0.8571428571428571,4
"comm_67","Tool","Tool",[],"","heuristic",0.6666666666666666,4
"comm_69","Tool","Tool",[],"","heuristic",1,4
"comm_73","Tool","Tool",[],"","heuristic",0.8571428571428571,4
"comm_81","Tool","Tool",[],"","heuristic",0.6,4
"comm_82","Tool","Tool",[],"","heuristic",0.8888888888888888,4
"comm_84","Tool","Tool",[],"","heuristic",0.6,4
"comm_96","Agent","Agent",[],"","heuristic",0.75,4
"comm_97","Biorxiv_scripts","Biorxiv_scripts",[],"","heuristic",0.8571428571428571,4
"comm_101","Agent","Agent",[],"","heuristic",0.75,4
"comm_20","Static_py","Static_py",[],"","heuristic",1,3
"comm_21","Static_py","Static_py",[],"","heuristic",1,3
"comm_25","Dynamic_runtime","Dynamic_runtime",[],"","heuristic",1,3
"comm_57","Tool","Tool",[],"","heuristic",1,3
"comm_58","Tool","Tool",[],"","heuristic",1,3
"comm_60","Tool","Tool",[],"","heuristic",1,3
"comm_70","Tool","Tool",[],"","heuristic",0.8,3
"comm_78","Tool","Tool",[],"","heuristic",0.8,3
"comm_79","Tool","Tool",[],"","heuristic",1,3
"comm_86","Tool","Tool",[],"","heuristic",1,3
"comm_90","Task","Task",[],"","heuristic",1,3
"comm_17","Orchestrator","Orchestrator",[],"","heuristic",1,2
"comm_32","App","App",[],"","heuristic",1,2
"comm_41","Biomni","Biomni",[],"","heuristic",1,2
"comm_47","Biomni","Biomni",[],"","heuristic",1,2
"comm_48","Biomni","Biomni",[],"","heuristic",1,2
"comm_54","Tool","Tool",[],"","heuristic",1,2
"comm_55","Tool","Tool",[],"","heuristic",1,2
"comm_56","Tool","Tool",[],"","heuristic",1,2
"comm_59","Tool","Tool",[],"","heuristic",1,2
"comm_61","Tool","Tool",[],"","heuristic",1,2
"comm_74","Tool","Tool",[],"","heuristic",1,2
"comm_75","Tool","Tool",[],"","heuristic",1,2
"comm_77","Tool","Tool",[],"","heuristic",1,2
"comm_87","Tool","Tool",[],"","heuristic",1,2
"comm_89","Task","Task",[],"","heuristic",1,2
"comm_91","Task","Task",[],"","heuristic",1,2
"comm_93","Task","Task",[],"","heuristic",1,2
"comm_95","Task","Task",[],"","heuristic",1,2
"comm_102","Agent","Agent",[],"","heuristic",1,2
"comm_105","Agent","Agent",[],"","heuristic",1,2
"comm_106","Example_mcp_tools","Example_mcp_tools",[],"","heuristic",1,2
